id,title,date,media_usage,data_source,dimensions,sitter,type,medium,artist,manifestUrl,imageUrl
NPG-S-NPG_77_223,Theodore Roosevelt,c. 1905,CC0,National Portrait Gallery,"45.6cm x 30.6cm (17 15/16"" x 12 1/16""), Image","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Photogravure,"Pirie MacDonald, 1867 - 1942",https://ids.si.edu/ids/manifest/NPG-S-NPG_77_223,https://ids.si.edu/ids/iiif/NPG-S-NPG_77_223/full/full/0/default.jpg
NPG-NPG_81_53,Theodore Roosevelt,"Sept 4, 1902",CC0,National Portrait Gallery,"Mat: 56 × 40.7 cm (22 1/16 × 16"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Print,Chromolithograph on paper,"Vincent, Brooks, Day & Son Lithography Company, active 1867 - c. 1905",https://ids.si.edu/ids/manifest/NPG-NPG_81_53,https://ids.si.edu/ids/iiif/NPG-NPG_81_53/full/full/0/default.jpg
NPG-NPG_81_125,Theodore Roosevelt,1884,CC0,National Portrait Gallery,"15cm x 10.6cm (5 7/8"" x 4 3/16""), Image","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Albumen silver print,"Julius Ludovici, active 1884",https://ids.si.edu/ids/manifest/NPG-NPG_81_125,https://ids.si.edu/ids/iiif/NPG-NPG_81_125/full/full/0/default.jpg
NPG-NPG_81_163,Theodore Roosevelt,1905,CC0,National Portrait Gallery,,"Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Underwood & Underwood, active 1880 - c. 1950",https://ids.si.edu/ids/manifest/NPG-NPG_81_163,https://ids.si.edu/ids/iiif/NPG-NPG_81_163/full/full/0/default.jpg
NPG-S-NPG_77_41,Theodore Roosevelt,c. 1905,CC0,National Portrait Gallery,"Mat: 45.7 × 35.6 cm (18 × 14"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,Unidentified Artist,https://ids.si.edu/ids/manifest/NPG-S-NPG_77_41,https://ids.si.edu/ids/iiif/NPG-S-NPG_77_41/full/full/0/default.jpg
NPG-NPG_81_131,Theodore Roosevelt,1904,CC0,National Portrait Gallery,"14.5cm x 18.9cm (5 11/16"" x 7 7/16""), Image","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Jessie Tarbox Beals, 1870 - 30 May 1942",https://ids.si.edu/ids/manifest/NPG-NPG_81_131,https://ids.si.edu/ids/iiif/NPG-NPG_81_131/full/full/0/default.jpg
NPG-S-NPG_84_285,Theodore Roosevelt,1907,CC0,National Portrait Gallery,"25.1cm x 20.5cm (9 7/8"" x 8 1/16""), Image","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Harris & Ewing Studio, active 1905 - 1977",https://ids.si.edu/ids/manifest/NPG-S-NPG_84_285,https://ids.si.edu/ids/iiif/NPG-S-NPG_84_285/full/full/0/default.jpg
NPG-8000114B_1,Theodore Roosevelt,1905,CC0,National Portrait Gallery,"Sheet: 61.2 x 45.5 cm (24 1/8 x 17 15/16"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Print,Etching on paper,"Sidney Lawton Smith, 1845 - 1929",https://ids.si.edu/ids/manifest/NPG-8000114B_1,https://ids.si.edu/ids/iiif/NPG-8000114B_1/full/full/0/default.jpg
NPG-NPG_91_21,Theodore Roosevelt,c. 1903,CC0,National Portrait Gallery,"Sheet: 63.5cm x 41.7cm (25"" x 16 7/16"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Print,Etching on paper,"Albert Rosenthal, 1863 - 1939",https://ids.si.edu/ids/manifest/NPG-NPG_91_21,https://ids.si.edu/ids/iiif/NPG-NPG_91_21/full/full/0/default.jpg
NPG-NPG_97_198,Theodore Roosevelt,c. 1915,CC0,National Portrait Gallery,"Sheet: 45.7 × 35.3 cm (18 × 13 7/8"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Print,Etching on paper,"James S. King, 1852 - 1925",https://ids.si.edu/ids/manifest/NPG-NPG_97_198,https://ids.si.edu/ids/iiif/NPG-NPG_97_198/full/full/0/default.jpg
